/data/Automation/main/tests/unit_tests/3dworkbench
['./arista_VerticalPorts_12', '0:00:00', 'PASSED']
['./arista_VerticalPorts_3', '0:00:04', 'PASSED']
['./arista_VerticalPorts_7', '0:00:06', 'PASSED']
['./DMeshTest_board_test_cut2', '0:01:13', 'PASSED']
['./arista_VerticalPorts_14', '0:00:09', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part1
['./58Dieblock_matfile', '0:02:15', 'PASSED']
['./CCMPR02323184', '0:00:20', 'PASSED']
['./2772972_new_wave_port_xmesh', '0:02:13', 'PASSED']
['./4diff_4port_wp', '0:02:47', 'PASSED']
['./3DEM_QuasiL_sample_pcb', '0:02:08', 'PASSED']
['./ABC_boundary', '0:00:56', 'PASSED']
['./Asus_cut_step7_setting', '0:00:34', 'PASSED']
['./56asym_strip', '0:03:09', 'PASSED']
['./2635280_lossymaterial', '0:00:49', 'PASSED']
['./CCMPR02507989_clf_incorrect_deembeding_snp_header_precheckin', '0:01:25', 'PASSED']
['./0_metal_Z_location', '0:01:43', 'PASSED']
['./CCMPR02495122_open_spd_crash', '0:00:12', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part2
['./ccr1436198_coatedvia_wrong', '0:03:10', 'PASSED']
['./Wave3DSettingmeshAlgorithm_SNR', '0:00:02', 'PASSED']
['./MTC_overlapcase', '0:05:39', 'PASSED']
['./initial_mesh_Horn_Coax_feed_RecreateWaveports', '0:05:31', 'PASSED']
['./initial_mesh_Design1_3DComp', '0:01:14', 'PASSED']
['./CLA_Lumped_Both', '0:00:40', 'PASSED']
['./filldie_sfreq', '0:01:39', 'PASSED']
['./Wirebond_KNSstandard_Dmesh', '0:03:15', 'PASSED']
['./force_partition_stop_iter_resume_finalonly', '0:03:14', 'PASSED']
['./Fill_in_multiple_solution_frequency_crash', '0:00:07', 'PASSED']
['./Mapping_top_bottom', '0:02:39', 'PASSED']
['./TempMapping_FiberWeave_Dmesh', '0:03:25', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part3
['./lmesh_thick_vias', '0:01:25', 'PASSED']
['./legacy_antenna_fields', '0:00:03', 'PASSED']
['./n79tx_EG5098_FT3_On_Wafer_STEP', '0:00:24', 'PASSED']
['./regr_one_trace_c3d', '0:00:26', 'PASSED']
['./legacy_antenna', '0:00:09', 'PASSED']
['./one_trace_low_freq_solution_CCMRP02620552', '0:00:52', 'PASSED']
['./regr_diff_via_dmesh_PML', '0:02:02', 'PASSED']
['./rect-WG-single-mode-propagation-region', '0:00:42', 'PASSED']
['./oneTrace_PEC_layers', '0:02:44', 'PASSED']
['./multi_structure', '0:06:53', 'PASSED']
['./regr_2587065_trapo_120degree', '0:01:22', 'PASSED']
['./magnetic_pwl_discrete_legacy', '0:01:51', 'PASSED']
/data/Automation/main/tests/unit_tests/trinity/splitted/part4
['./zero_thickness_rect_WG_4-mode_external_PEC_discrete', '0:01:13', 'PASSED']
['./thick_rect_WG_2-mode_external_DC_thickness_copper', '0:06:22', 'PASSED']
['./workbench_AWR_flow_case', '0:01:21', 'PASSED']
['./xmesh', '0:03:09', 'PASSED']
['./smodel_0_10GHz_update', '0:02:09', 'PASSED']
['./rfin_mmic_nom', '0:02:53', 'PASSED']
['./regr_strip_diff_sep_wp_2764484', '0:03:49', 'PASSED']
['./strip1_3x_mixed', '0:01:13', 'PASSED']
['./volumnmesh_failed', '0:01:58', 'PASSED']
['./zero_thickness_rect_WG_4-mode_external_PEC_AFS', '0:00:53', 'PASSED']
['./wave3d_prepare_three_traces', '0:00:04', 'PASSED']
/data/Automation/main/tests/unit_tests/thermal/ECAD
['./Sample6_pkg_characterization_1', '0:00:08', 'PASSED']
['./stacked_die_transient_new', '0:03:39', 'PASSED']
['./vtm_with_techfile', '0:00:00', 'PASSED']
['./thermal_setup_flow2', '0:00:59', 'PASSED']
['./chip_static_TSV_size_diff', '0:00:07', 'PASSED']
['./2D_TransientET', '0:01:24', 'PASSED']
['./ThreeDHier', '0:02:15', 'PASSED']
['./single_transient_pwrmap_leakage_pwrmap', '0:00:18', 'PASSED']
['./2d_static_demo_w_multi_heatsink', '0:00:09', 'PASSED']
['./PCB_Transient_Files', '0:00:24', 'PASSED']
['./Sample6_pkg_characterization_2', '0:00:23', 'PASSED']
['./3DIC_singleBlock', '0:00:12', 'PASSED']
['./Die_Polygon_Power', '0:00:18', 'PASSED']
['./2_Stacked_die_test', '0:00:10', 'PASSED']
['./hier_merge_test', '0:00:36', 'PASSED']
['./TDV_Four_chips', '0:00:11', 'PASSED']
['./areabased_pwrmap', '0:00:21', 'PASSED']
['./TempDept_HeatSink', '0:00:30', 'PASSED']
['./Extraction_IR_PCB', '0:01:15', 'PASSED']
['./vtm_new_format', '0:00:06', 'PASSED']
['./ThermalDB_2DArea_Leakage', '0:00:24', 'PASSED']
['./PCB_crossover_heatsinks', '0:00:08', 'PASSED']
['./GDS_transient', '0:00:13', 'PASSED']
['./encrypted_powermap', '0:00:14', 'PASSED']
['./ThermalDB_2DLeakage_Transient', '0:00:17', 'PASSED']
['./ThermalDB_3DTransient_Leakage', '0:00:07', 'PASSED']
['./Sample5', '0:03:39', 'PASSED']
['./StaticT_pcb_pkg_merge', '0:00:26', 'PASSED']
['./usb_device', '0:00:09', 'PASSED']
['./Sample4_transient', '0:01:38', 'PASSED']
['./same_power_file_multi_die_2d', '0:00:06', 'PASSED']
['./StaticT_IR_PCB', '0:00:20', 'PASSED']
['./Sample4_static', '0:00:07', 'PASSED']
['./nonuniform_adaptive_timesteps_repeat', '0:00:14', 'PASSED']
['./2D_StaticETS', '0:00:49', 'PASSED']
['./TSV_implementation', '0:00:09', 'PASSED']
['./TransientFile_top', '0:00:16', 'PASSED']
['./tech_file_test_case', '0:01:39', 'PASSED']
['./gds_stacked_die_3dpwrmap', '0:00:09', 'PASSED']
['./2d_static_demo_LDFlow', '0:00:09', 'PASSED']
['./ThermalDB_3DHierarchy', '0:00:06', 'PASSED']
['./ExtractionET_demo', '0:00:32', 'PASSED']
['./3DIC_cowosS', '0:00:34', 'PASSED']
/data/Automation/main/tests/post_regression/translator
['./rif/201test', '0:00:05', 'PASSED']
['./2664597_net', '0:00:09', 'PASSED']
['./dxf/2749506_case5', '0:00:07', 'PASSED']
['./dxf/F1', '0:01:25', 'PASSED']
['./CCMPR02092626_pad_translation_error', '0:00:59', 'PASSED']
['./odb/CCMPR01480622', '0:00:19', 'PASSED']
['./odb/negative_plane_layer_eci', '0:00:06', 'PASSED']
['./odb/spdif_all_odb', '0:00:06', 'PASSED']
['./altium/Connector_Board', '0:00:06', 'PASSED']
['./dsn/test', '0:00:05', 'PASSED']
['./CCMPR02665240_Lost_Mimcap', '0:01:06', 'PASSED']
['./cadvance/yvs-90-00031_bug8776', '0:00:12', 'PASSED']
['./ipc2581/nf2017ISR7_IPC2581_default_options', '0:01:05', 'PASSED']
['./pads/TCC8002_TEM_CELL_V1_4_3', '0:01:06', 'PASSED']
['./gds/CCMPR02575067_ICT_temp_25deg', '0:02:08', 'PASSED']
['./gds/2177499_multi_segments_shape_via_cut', '0:00:28', 'PASSED']
['./gds/2178903_leverage_layermap_Case2', '0:00:06', 'PASSED']
['./gds/02107592_Innotech_Gds_No_Net_InTechFile', '0:00:05', 'PASSED']
['./gds/CCMPR02245337_geometries_error', '0:00:05', 'PASSED']
['./gds/FromLog2', '0:00:22', 'PASSED']
['./gds/RectVia_wo_offset', '0:00:59', 'PASSED']
['./gds/02204564_shape_disconnection_steps', '0:00:09', 'PASSED']
['./gds/CCMPR02588721_disable_ThermalTF_property', '0:00:05', 'PASSED']
['./gds/02272950_FailedReadEncryptedICT', '0:00:18', 'PASSED']
['./gds/FlipX_log', '0:00:06', 'PASSED']
['./cr5k/1038310460_v04', '0:00:50', 'PASSED']
['./brd/2607790_diestack', '0:00:06', 'PASSED']
['./brd/FC_BGA_bothdefine_mcm_bydesign', '0:00:12', 'PASSED']
['./brd/demo_ver_15p5p1', '0:00:08', 'PASSED']
['./brd/trans_part_nets', '0:00:06', 'PASSED']
['./ndd/design_v612', '0:00:13', 'PASSED']
/data/Automation/main/tests/unit_tests/s2k
['./Taper_3_multi', '0:00:22', 'PASSED']
['./trace_teardrop_for_circle_pad_with_via', '0:00:21', 'PASSED']
['./c1_5510', '0:01:57', 'PASSED']
['./Back_drill_from_top_bottom_L3', '0:00:26', 'PASSED']
['./AE_CCMPR02064668_wrong_se_imp', '0:04:09', 'PASSED']
['./Back_drill_from_top_bottom_L1', '0:00:00', 'PASSED']
['./ESD_chip_modeltest', '0:00:15', 'PASSED']
['./TDR_01075921', '0:00:36', 'PASSED']
['./7_Diff_2100_L2_Y_M', '0:02:39', 'PASSED']
['./10_twopassive_1_20_EN_Z', '0:12:08', 'PASSED']
['./tabbed_trace_CCR01638497', '0:00:24', 'PASSED']
/data/Automation/main/tests/unit_tests/t2b
['./ccr01403544_outputdiff_with_spectre', '0:00:59', 'PASSED']
['./ccr01959017_inputdelay', '0:02:23', 'PASSED']
['./speedup_C_comp_extraction_spectre', '0:00:22', 'PASSED']
['./ccr01695171_NXP_output_raw_file', '0:00:06', 'PASSED']
['./ccr01740793_io_open_drain', '0:05:54', 'PASSED']
['./01983377_comp_biasing', '0:00:24', 'PASSED']
['./t2b_example_spectre', '0:00:29', 'PASSED']
['./t2b_c_comp_specified_dc', '0:00:30', 'PASSED']
/data/Automation/main/tests/unit_tests/pwt
['./Extraction_setup/Starting_component_settings/add_start_comp/sensePosNeg', '0:00:09', 'PASSED']
['./InitialSetup/ComponentTypeIdentify/capacitor', '0:00:10', 'PASSED']
['./dcdc_component', '0:00:07', 'PASSED']
['./parser/from_packaged/1947421_DoubleQuotationInProperty', '0:00:08', 'PASSED']
['./parser/from_netlist/nokia_CCR01714946', '0:00:07', 'PASSED']
['./parser/from_netlist/nokia_1787803', '0:00:07', 'PASSED']
['./parser/from_netlist/1924567_DoubleQuotationInProperty', '0:00:08', 'PASSED']
/data/Automation/main/tests/unit_tests/bbs
['./PSD_LNA_gate_Ind_source_degen_Lcm_8', '0:00:06', 'PASSED']
['./rtxd_24_amp2_FromLO_ADS1', '0:00:18', 'PASSED']
['./lineNocausalEnforcement', '0:00:06', 'PASSED']
['./ForBBS.8.1.9TEST_grid-spara-vccpq', '0:03:38', 'PASSED']
['./PC2-6400_SODIMM_x16_1_die_PSI_031709_183757', '0:12:24', 'PASSED']
['./ind_1p0_1p7_network3_deem', '0:00:06', 'PASSED']
['./app1_drv', '0:01:54', 'PASSED']
/data/Automation/main/tests/unit_tests/spdsim
/data/Automation/main/tests/unit_tests/fdtd
['./patch_antenna_waveport', '0:01:04', 'PASSED']
['./three_traces', '0:02:28', 'PASSED']
['./square_loop', '0:00:17', 'PASSED']
['./dipole_antenna', '0:00:22', 'PASSED']
